{'diabetes_readmission_causal_group_dro'}
run_0Train Datashifts with Representations:{'informativeness': 0.016108566162679066, 'invariance': 0.3282168223850304, 'label_shift': 0.003375592508434266, '(latent)_covariate_shift': 0.34940142352513076, 'concept_shift': 0.23541236822028438, 'residual': 0.022821989500404632, 'overall': -0.11213951062360046}
run_0Test Datashifts with Representations:{'informativeness': 0.015895192638073728, 'invariance': 0.0013680332236263094, 'label_shift': -0.006770410690669257, '(latent)_covariate_shift': 0.001074251809665984, 'concept_shift': 0.05850892675011577, 'residual': 0.02427198401875249, 'overall': -0.04116335080805143}
run_1Train Datashifts with Representations:{'informativeness': 0.007327715096787075, 'invariance': 0.23299134870413565, 'label_shift': -0.0031805683642138712, '(latent)_covariate_shift': 0.26449467777265195, 'concept_shift': 0.2129245109820915, 'residual': 0.01914462470706447, 'overall': -0.10411778474917194}
run_1Test Datashifts with Representations:{'informativeness': 0.020059336422862544, 'invariance': 0.0019034080721954485, 'label_shift': 0.0007466110447008205, '(latent)_covariate_shift': 0.0010588768978909994, 'concept_shift': 0.07030527954938783, 'residual': 0.01684482282186634, 'overall': -0.031987086238499524}
run_2Train Datashifts with Representations:{'informativeness': 0.025988259154460368, 'invariance': 0.30551563673256066, 'label_shift': 0.03056067027352713, '(latent)_covariate_shift': 0.31244108273213095, 'concept_shift': 0.24441127956486647, 'residual': 0.05351741187111222, 'overall': -0.13099173436253636}
run_2Test Datashifts with Representations:{'informativeness': 0.027709064948070718, 'invariance': 0.0020099438786653594, 'label_shift': -0.0018651941118563787, '(latent)_covariate_shift': 0.0023352618227570746, 'concept_shift': 0.06050243454170087, 'residual': 0.013650371073479373, 'overall': -0.016962461480141425}
run_3Train Datashifts with Representations:{'informativeness': 0.026583422616086042, 'invariance': 0.36245430322212197, 'label_shift': -0.009696242617215522, '(latent)_covariate_shift': 0.38343962513825747, 'concept_shift': 0.2594279176894181, 'residual': 0.01766116493016624, 'overall': -0.11514716150932926}
run_3Test Datashifts with Representations:{'informativeness': 0.006601629275459808, 'invariance': 0.00014958456458690356, 'label_shift': 0.027071814301264048, '(latent)_covariate_shift': 0.0012750759809887508, 'concept_shift': 0.05640628172323983, 'residual': 0.0138282706558665, 'overall': -0.02133112938319366}
run_4Train Datashifts with Representations:{'informativeness': 0.018450650257634427, 'invariance': 0.3232534494859635, 'label_shift': 0.02263980414945888, '(latent)_covariate_shift': 0.33114553454493423, 'concept_shift': 0.2041104637251856, 'residual': 0.0189634589477612, 'overall': -0.08730209594850477}
run_4Test Datashifts with Representations:{'informativeness': 0.017104770717058706, 'invariance': 0.00224436999663059, 'label_shift': 0.010135774381306023, '(latent)_covariate_shift': 0.001978953073132122, 'concept_shift': 0.05358855150813848, 'residual': 0.016143218187510352, 'overall': -0.020897544495617107}
{'diabetes_readmission_arguablycausal_group_dro'}
run_0Train Datashifts with Representations:{'informativeness': 0.0746577579410178, 'invariance': 0.38423538407533425, 'label_shift': 0.003375592508434266, '(latent)_covariate_shift': 0.43524056301367586, 'concept_shift': -0.003196091221786769, 'residual': 0.05930618648858875, 'overall': 0.044140002786710375}
run_0Test Datashifts with Representations:{'informativeness': 0.0775486274261339, 'invariance': 0.00010820212806625991, 'label_shift': -0.009544186325330216, '(latent)_covariate_shift': 0.0, 'concept_shift': 0.002272244689400748, 'residual': 0.04886681280265805, 'overall': 0.02271949805207725}
run_1Train Datashifts with Representations:{'informativeness': 0.05827706815971102, 'invariance': 0.19677958745590315, 'label_shift': 0.015734076376641568, '(latent)_covariate_shift': 0.23069245520521173, 'concept_shift': 0.0031029711040021514, 'residual': 0.04881102018780926, 'overall': 0.03273803448287576}
run_1Test Datashifts with Representations:{'informativeness': 0.06263627806356624, 'invariance': 8.415721071987506e-05, 'label_shift': 0.0009818828414588172, '(latent)_covariate_shift': -2.40449173489476e-05, 'concept_shift': 0.0009137068592300567, 'residual': 0.042185859311475164, 'overall': 0.02043040567917103}
run_2Train Datashifts with Representations:{'informativeness': 0.0746577579410178, 'invariance': 0.38423538407533425, 'label_shift': 0.003375592508434266, '(latent)_covariate_shift': 0.43524056301367586, 'concept_shift': -0.003196091221786769, 'residual': 0.05930618648858875, 'overall': 0.044140002786710375}
run_2Test Datashifts with Representations:{'informativeness': 0.0775486274261339, 'invariance': 0.00010820212806625991, 'label_shift': -0.009544186325330216, '(latent)_covariate_shift': 0.0, 'concept_shift': 0.002272244689400748, 'residual': 0.04886681280265805, 'overall': 0.02271949805207725}
run_3Train Datashifts with Representations:{'informativeness': 0.05827706815971102, 'invariance': 0.19677958745590315, 'label_shift': 0.015734076376641568, '(latent)_covariate_shift': 0.23069245520521173, 'concept_shift': 0.0031029711040021514, 'residual': 0.04881102018780926, 'overall': 0.03273803448287576}
